#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,Canal KondZilla,67700000,39428637614,3343
2,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,Brazil,,13.3M,Felipe Neto,47300000,18679180692,5712
3,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,Brazil,,12.9M,Você Sabia?,46500000,8330447023,1747
4,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38.6M,-,Brazil,,11.6M,LUCCAS TOON - LUCCAS NETO,52200000,31837962090,3250
5,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,Brazil,,10.1M,Maria Clara & JP,48100000,32042550275,999
6,rezendeevil @UCbTVTephX30ZhQF5zwFppBg,31.5M,-,Brazil,,9.5M,rezendeevil,33900000,13815164572,12541
7,Marília Mendonça @UCwfEOn0O1DWcyTgzVVu28ig,25.5M,-,Brazil,,7.7M,Marília Mendonça,27100000,21094478869,242
8,Renato Garcia @UChMJkHCD2wdvSO7CMOuLR-w,25.2M,0.4%,Brazil,,7.6M,Renato Garcia,30000000,9650263448,4966
9,Enaldinho @enaldinho,22M,0.1%,Brazil,,6.6M,Deleted channel,1,1,1
10,Canal Canalha @UCPHXtOVmjvbP9OJihsd7gCg,20.7M,-,Brazil,,6.2M,Canal Canalha,21100000,2047606916,371
11,Totoy kids - Português @UCy7whoHQXzhYxp9AQmrPFVw,19.9M,-,Brazil,,6M,José Totoy - Português ,21600000,879942715,356
12,Gusttavo Lima Oficial @UCXooz9whNJZBRTHi9AqdjPw,19.3M,-,Brazil,,5.8M,Gusttavo Lima Oficial,21300000,17469656282,769
13,Robin Hood Gamer @UCYtaoJSk9iIrFxx8eZB15ag,19.2M,-,Brazil,,5.8M,Robin Hood Gamer,22000000,11619029329,4564
14,Dan-Sa / Daniel Saboya @UCEUf_uUDUfJJ3XfgwOxm-0A,18M,-,Brazil,,5.4M,Dan-Sa / Daniel Saboya,19000000,629203643,3323
15,Masha e o Urso @UCJKBSfD5JSUxGhriFeoPCCg,17.4M,-,Brazil,,5.2M,Masha e o Urso,23700000,11231622622,1839
16,DUDU e CAROL @UC371icpvZj2oQaocL0i9L-g,17.1M,0.5%,Brazil,,5.1M,DUDU e CAROL,32900000,15203143352,3277
17,Rafa & Luiz @UC6paX0kLA8D81aYogceMufw,16.6M,0.1%,Brazil,,5M,Rafa & Luiz,30000000,11299640791,4241
18,Canal IN @UCIR9VKPE70KJ4DX2zCjHObw,16.1M,-,Brazil,,4.8M,Canal IN,16200000,2830861325,721
19,Henrique e Juliano @UCfLTxnQboSLcoSakgONmukQ,15.3M,-,Brazil,,4.6M,Henrique e Juliano,16800000,19574460590,374
20,Gato Galactico | GALÁXIA @UCbt4SegZBQLeXMTMvnrfZtw,15.3M,-,Brazil,,4.6M,Gato Galactico,20200000,3765714735,1549
21,Zé Neto e Cristiano @UCRRu9OXVYd5clj2Bs29gUVQ,14.7M,-,Brazil,,4.4M,Zé Neto e Cristiano,15900000,14595734876,553
22,MK MUSIC @UCbVwJCxsVbmaP1PFmbGQDeQ,14.6M,-,Brazil,,4.4M,MK MUSIC,18100000,12138825240,7281
23,Jorge & Mateus Oficial @UCL64gn1KZ1C-u87BGQv3b6w,14.6M,0.2%,Brazil,,4.4M,Jorge & Mateus Oficial,15400000,10782514317,380
24,IDEIAS INCRÍVEIS @UCcQeJmGXpa_t03Zjrl8Aq4g,14.6M,-,Brazil,,4.4M,IDEIAS INCRÍVEIS,14400000,3656405937,6800
25,Canal Nostalgia @UCH2VZQBLFTOp6I_qgnBJCuQ,14.4M,0.2%,Brazil,,4.3M,Canal Nostalgia,15000000,1587781785,451
26,Camila Loures @UCvuJTWl_peL49CUfF2EAbyg,14.2M,-,Brazil,,4.3M,Camila Loures,15900000,5769600010,5113
27,O Canal do Joãozinho - Little Angel Português @UCAdpXDXkrrYQXFtAbJixRUg,14.2M,-,Brazil,,4.3M,Little Angel - Músicas Infantis em Português,16900000,11315880119,1208
28,Invento na Hora @UCR3vcUrhFUdzagng58ueI2w,14.1M,0.8%,Brazil,,4.2M,Invento na Hora,14200000,4203041594,1388
29,Juliana Baltar @UCqDauP_ke8Lwt8Hg3Xv-8Iw,14M,-,Brazil,,4.2M,Juliana Baltar,19200000,4779574100,2819
30,AM3NlC @UCrGnb5RdHA9M6WGmBGYo4ZQ,13.9M,0.1%,Brazil,,4.2M,AM3NlC,14200000,5175274038,6273
31,MAIKI021 @UCXhDFaOPG2zhiYm9eXuMKkA,13.7M,-,Brazil,,4.1M,MAIKI021,13800000,1994443421,3168
32,TazerCraft @UCjBO43ykxlSs3j7F7EXcBUQ,13.4M,0.2%,Brazil,,4M,TazerCraft,15200000,6241210273,4179
33,PlayHard @UC4IMfO_--bwBaNgWeoLxAgg,13.4M,-,Brazil,,4M,PlayHard,14500000,2519807739,2576
34,O Reino Infantil @UCooY3HgjOMWoDpIHMDM4ghQ,13.2M,-,Brazil,,4M,O Reino Infantil,16200000,11320400541,1459
35,O Que Não Dizer Oficial @UC19aAr6UojQesIVCBsXJGIw,13.1M,-,Brazil,,3.9M,O Que Não Dizer Oficial,16200000,3373052662,1147
36,Matheus Yurley @UC-4kjzuh4822B9yPSgpZQgA,13.1M,0.3%,Brazil,,3.9M,Matheus Yurley,12800000,109758830,52
37,Ei Nerd @UCt_4wzTQqmcUvemNkeO0plA,13M,-,Brazil,,3.9M,Ei Nerd,14100000,4159713676,8467
38,Everson Zoio @UChPa3fnlI3RKuzEbeEPKRFw,12.9M,0.8%,Brazil,,3.9M,Everson Zoio,13100000,1038795867,627
39,Peppa Pig em Português Brasil - Canal Oficial @UCvD9GB-E4q_TuMpwUtFBhLA,12.8M,-,Brazil,,3.8M,Peppa Pig em Português Brasil - Canal Oficial,16100000,6120974918,2001
40,Hungria Hip Hop @UCAI8SmRbXgSpP8Zo3xZbxzQ,12.7M,1.3%,Brazil,,3.8M,Hungria,14200000,6032099178,331
41,Crescendo com Luluca @UCnrGkE2AmBAv6Vxj6kjf1jg,12.5M,0.3%,Brazil,,3.8M,Crescendo com Luluca,16900000,6604708703,1871
42,Bispo Bruno Leonardo @UCVNouUw3d3l5JYVCxhAQXKA,12.5M,2.2%,Brazil,,3.8M,Bispo Bruno Leonardo,56100000,8362792181,7626
43,Parafernalha @UCddYq41_tZ1FnLlguLT6-Ow,12.5M,-,Brazil,,3.8M,Parafernalha,12700000,4890318151,3086
44,LOUD @UC7iwNp4GUynlGXvK-6KD0Rw,12.4M,0.1%,Brazil,,3.7M,LOUD,13000000,2646556940,1535
45,Bela Bagunça @UChYWDADhmWJU6_X7Vm7FzDw,12.2M,-,Brazil,,3.7M,Bela Bagunça,12300000,2989732739,1541
46,EU FICO LOKO @UCwQSkyrft0ohf-ra21yIs9Q,11.8M,-,Brazil,,3.5M,EU FICO LOKO,11500000,1188276745,1613
47,LipaoGamer @UCHuZmQ0lSW8TG81dVZZh5rw,11.8M,-,Brazil,,3.5M,LipaoGamer,13400000,4926494070,12835
48,Dani Russo Tv @UCgdnrd2Ae_H07_N8j1l18Xw,11.7M,0.1%,Brazil,,3.5M,Dani Russo Tv,11500000,617473300,291
49,SBT @UCR3TOnFWDeAlT-Ho6LueDmg,11.7M,-,Brazil,,3.5M,SBT,13300000,4074134140,26903
50,MC Divertida @UCllJguE1AIxYBmZJ8NUWiHg,11.7M,-,Brazil,,3.5M,MC Divertida,18000000,8232926337,605
51,Pastor Antônio Júnior @UCKEM87jzVqdIfAdTr0xNBfA,11.5M,0.6%,Brazil,,3.5M,Pastor Antônio Júnior,15600000,2934338875,7705
52,Simone e Simaria @UCSriAVggapS9Fb43fRB2vyQ,11.3M,0.2%,Brazil,,3.4M,Simone e Simaria,11600000,5233731834,231
53,Virgínia Fonseca @UCsaB2VrLZrtGbum6Eo0ClbA,11.3M,-,Brazil,,3.4M,Virgínia Fonseca,11900000,1591176245,1539
54,Coisa de Nerd @UCuxfOdbKQy0tgGXcm9sjHiw,11.1M,-,Brazil,,3.3M,Coisa de Nerd,11100000,3561896944,2003
55,Games EduUu @UCYzp8-P162Em-3uZnCuGJOg,11M,1.2%,Brazil,,3.3M,Games EduUu,12400000,3644679999,1108
56,Viih Tube @UCl5i1KWUAV7hdT5_tL8l6RA,11M,-,Brazil,,3.3M,Viih Tube,11200000,962493477,665
57,Milena Stepanienco - MILENINHA @UCMQGjL7ft6aNLKPp5xN-P3A,10.8M,-,Brazil,,3.2M,MILENINHA,12500000,5063918161,1156
58,Galo Frito @UCyb0T6J6nL5ibo0HLRMINKw,10.7M,-,Brazil,,3.2M,Galo Frito,10900000,1992013991,667
59,Mussoumano @UC607Gii1uo93qDqiGR6-c3w,10.7M,0.7%,Brazil,,3.2M,MUSSA,13300000,2335432782,608
60,Franciny Ehlke @UCoTM-vvs2hnv2mCvzNJ5uXA,10.6M,0.2%,Brazil,,3.2M,Franciny Ehlke,11800000,1762830403,1207
61,Lucas Rangel @UCNmBUECIkUyPr2hxIAT3vzw,10.5M,-,Brazil,,3.2M,Lucas Rangel,12300000,2764615510,1066
62,The Noite com Danilo Gentili @UCEWOoncsrmirqnFqxer9lmA,10.5M,0.1%,Brazil,,3.2M,The Noite com Danilo Gentili,13200000,6035698863,15644
63,Matheus e Kauan @UC4WvVh0AwJ6K9w1JLepce7A,10.5M,-,Brazil,,3.2M,Matheus e Kauan,11100000,9165503193,612
64,Lorrayne Oliveira @UC--FL6OwLFWGIZfLfazY4yA,10.4M,-,Brazil,,3.1M,Lorrayne Oliveira,12100000,2702905565,1890
65,Netflix Brasil @UCc1l5mTmAv2GC_PXrBpqyKQ,10.3M,-,Brazil,,3.1M,Netflix Brasil,13800000,2439475887,6490
66,PineappleStormTV @UCqrFwa5vueOTzGZ7NSlnvlQ,10.1M,0.5%,Brazil,,3M,PineappleStormTV,11700000,5984004739,395
67,BETO GAMER @UCPl_3zCQnCB4Iv79UD_i-5A,10M,-,Brazil,Video Gaming,3M,BETO GAMER,10900000,3992446377,4296
